日付,2021_5_30__23_34_56
年齢,12
性別,男性
右手
スコア(秒),21.08918
時間,手の甲の位置,,手の力_親指,人差し指...
time(s),x,y,z
0.6863148,-74.82225, 327.456, 25.58203
0.6913305,-74.91961, 327.1223, 26.17543
0.6953444,-74.96071, 326.77, 26.75229
0.7007591,-74.96071, 326.77, 26.75229
0.7054888,-74.96673, 326.2901, 27.31952
0.7098599,-74.98354, 325.7879, 27.87089
0.7146492,-74.95969, 325.2227, 28.33461
0.7190484,-74.99329, 324.6079, 28.81306
0.7238931,-74.99329, 324.6079, 28.81306
0.7281971,-75.08622, 324.0721, 29.21125
0.7326074,-75.2621, 323.5864, 29.61883
0.7377957,-75.53049, 323.1393, 30.02156
0.7425747,-75.53049, 323.1393, 30.02156
0.7477804,-75.91855, 322.7381, 30.46018
0.7525493,-76.42473, 322.3629, 30.84825
0.757187,-76.42473, 322.3629, 30.84825
0.7616044,-76.91447, 321.7428, 31.57759
0.7657229,-77.4384, 320.9783, 32.24218
0.7710882,-78.10099, 320.2746, 32.90084
0.7752302,-78.10099, 320.2746, 32.90084
0.7799582,-78.88508, 319.7511, 33.41934
0.7849035,-79.7841, 319.1594, 33.73226
0.7896538,-80.61456, 318.1653, 34.31105
0.7940031,-81.46027, 317.2731, 34.89018
0.7981952,-81.46027, 317.2731, 34.89018
0.8038276,-82.36639, 316.5262, 35.27586
0.8079391,-83.37101, 315.869, 35.38779
0.8129699,-85.38304, 314.7789, 36.00197
0.8175614,-86.5468, 314.742, 36.16453
0.8225258,-87.69389, 314.5282, 36.43759
0.8265476,-88.96708, 314.6854, 36.87685
0.8310714,-90.37534, 315.1483, 37.52065
0.8361061,-90.37534, 315.1483, 37.52065
0.8403791,-91.87275, 315.5054, 37.86905
0.8452358,-93.42007, 315.7899, 38.0906
0.8492767,-95.23448, 316.1561, 37.94012
0.8543251,-95.23448, 316.1561, 37.94012
0.8596253,-97.25751, 316.6132, 37.39969
0.8638138,-99.26927, 316.7681, 36.69491
0.8688053,-99.26927, 316.7681, 36.69491
0.8730484,-101.1891, 316.8994, 35.96637
0.8777408,-103.0626, 317.2145, 35.31362
0.8821994,-105.0611, 317.6947, 35.23297
0.8865976,-107.3332, 318.5727, 34.95941
0.8912674,-107.3332, 318.5727, 34.95941
0.895403,-109.8421, 319.3904, 35.38658
0.9008141,-112.3959, 320.171, 35.63434
0.9048827,-114.661, 320.9813, 36.64484
0.9091792,-114.661, 320.9813, 36.64484
0.9136488,-116.405, 321.4092, 37.60637
0.9180292,-117.8036, 321.6094, 38.43761
0.9230842,-118.8721, 321.4742, 38.96675
0.9272529,-119.3476, 320.7856, 39.37826
0.9317474,-119.3476, 320.7856, 39.37826
0.9371404,-119.3471, 319.3301, 39.80272
0.9417916,-118.9048, 317.8185, 40.63935
0.9465469,-118.2397, 316.1593, 41.89891
0.951531,-118.2397, 316.1593, 41.89891
0.9564534,-117.2567, 314.5409, 43.47918
0.960746,-116.2778, 312.9523, 45.34425
0.9647607,-114.9872, 311.3683, 47.35347
